rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Moody's Investors Service,2017-12-15,Corporate,Vodafone Group Plc,213800TB53ELEUKM7Q61,Instrument,CONV ZERO CPN EURO MTNS,,0.0,2020-11-26,600.00,true,Baa1,2015-11-27,NW,Instrument,,Senior Unsecured,,,,,,824802663,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Beijing Energy Investment Holdings Limited,,Instrument,GTD EUROBONDS,,1.5,2018-07-28,300.00,true,A3,2015-06-23,NW,Instrument,,Backed Senior Unsecured,,,,824582850,NRSRO,824582850,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Korea Land and Housing Corporation,,Instrument,SWISS BONDS,,2.125,2016-12-12,150.00,false,A1,2012-06-15,HS,Instrument,,Senior Unsecured,,,,823050781,NRSRO,823050781,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Astellas Pharma Inc.,,Other,LT Issuer Rating,,,,,true,A1,2014-12-03,DG,Organization,,LT Issuer Rating,,,,,,834300,NRSRO,0001446390,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Danone Finance S.A.,,Instrument,GTD EURO MTNS,,3.625,2012-06-20,200.00,false,A3,2012-06-15,HS,Instrument,,Backed Senior Unsecured,,,,820951390,NRSRO,820951390,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Wisconsin Electric Power Company,AENKIFMULUAWOUU8Q584,Instrument,DEBENTURES,976656BW7,5.625,2033-05-15,335.00,true,A1,2014-01-31,UP,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Brookfield Incorporacoes S.A.,,Instrument,BRAZILIAN DEBENTURES,,,2015-08-08,76.76,false,A3.br,2013-02-21,DG,Instrument,,Senior Unsecured,,,,,,822640725,NRSRO,0001504374,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Landsvirkjun,213800Z3CFZOLXPJWN61,Instrument,EURO MEDIUM TERM NOTES,,4.45,2023-08-15,30.00,true,Ba1,2015-07-01,UP,Instrument,,Senior Unsecured,,,,,,823572734,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Bumble Bee Holdco S.C.A.,,Instrument,SR PAY-IN-KIND NOTES,12046QAA1,9.625,2018-03-15,150.00,true,Caa2,2013-04-02,DG,Instrument,,Senior Unsecured,,,,822468555,NRSRO,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Advanstar Communications, Inc.",,Instrument,SR SEC 1ST LIEN TERM LOAN,00763WAK2,,2019-06-05,300.00,true,B1,2013-05-14,NW,Instrument,,Senior Secured Bank Credit Facility,,,,,,,,0001062771,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Hunter Defense Technologies, Inc.",,Instrument,SR SEC TERM LOAN B,44567DAB0,,2014-08-22,200.00,true,B3,2013-09-05,DG,Instrument,,Senior Secured Bank Credit Facility,,,,,,,,0001343243,,,,,,
