rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Moody's Investors Service,2017-12-15,Corporate,"P2 Energy Solutions, Inc.",,Instrument,SR SEC 2ND LIEN TERM LOAN,71667CAD0,,2019-11-20,110.00,false,Caa1,2012-10-29,NW,Instrument,,Senior Secured Bank Credit Facility,,,,823246496,NRSRO,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Alion Science and Technology Corp (Old),5493003ITP0M5GD4XN85,Instrument,SR GLOBAL NOTES,016275AF6,10.25,2015-02-01,28.98,true,Caa3,2012-09-24,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Orion Engineered Carbons GmbH,549300OYUPKC8M68U288,Instrument,GTD SR SEC TERM LOAN,,,2021-07-25,358.06,true,(P)B1,2014-07-21,NW,Instrument,,Backed Senior Secured Bank Credit Facility,,,,,,823966230,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Fiat Chrysler Finance Europe SA,549300WNB3BQ4638PG80,Instrument,GTD EURO MTNS,,3.125,2019-09-30,250.00,true,B1,2016-05-10,UP,Instrument,,Backed Senior Unsecured,,,,,,824138795,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Okinawa Electric Power Company, Incorporated",,Instrument,SR SEC JAPAN BONDS,,0.524,2015-12-18,10000.00,true,WR,2015-12-18,WE,Instrument,,Senior Secured,,,,822369337,NRSRO,822369337,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Valeant Pharmaceuticals International,KOO0397YRO83WY5MGD97,Instrument,SR GLOBAL NOTES,91911XAT1,6.375,2020-10-15,500.00,true,B2,2016-03-15,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Southern California Edison Company,9R1Z5I36FERIBVKW4P77,Instrument,REVOLVING CREDIT FACILITY,,,2017-05-18,2750.00,true,WR,2014-07-18,WE,Instrument,,Senior Unsecured Bank Credit Facility,,,,,,823191526,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Capsugel Holdings S.A.,,Other,LT Corporate Family Ratings,,,,,false,B1,2013-06-20,UP,Organization,,LT Corporate Family Ratings,,,,822581540,NRSRO,822581540,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Hartford Life Global Funding Trust 2005-017,,Instrument,SR SEC MED TERM NOTES,41659FBL7,5.0,2016-02-15,2.81,false,A3,2012-06-15,HS,Instrument,,Backed Senior Secured,,,,,,,,0001316270,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Breitburn Energy Partners L.P.,5493005YTI5YDLNG0029,Instrument,GTD SR GLOBAL NOTES,106777AD7,7.875,2022-04-15,450.00,true,C,2016-05-16,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
