rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,DEBENTURES,075887AN9,7.0,2027-08-01,200.00,true,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"GENEX Services, Inc.",,Instrument,SR SEC 1ST LIEN TERM LOAN B,,,2018-07-26,190.00,true,WR,2014-06-13,WO,Instrument,,Senior Secured Bank Credit Facility,,,,823463416,NRSRO,823463416,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Swiss Re Europe SA,549300CJ7LW6QSGIL444,Other,Insurance Financial Strength,,,,,true,Aa3,2013-12-10,UP,Organization,,Insurance Financial Strength,,,,,,820565715,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,JetBlue Airways Corp.,54930070J9H97ZO93T57,Instrument,FLT RT PASS THRU CTFS,47714NAB3,,2018-05-15,185.41,false,Ba2,2014-04-15,UP,Instrument,,Underlying Enhanced Equipment Trust,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Centrica plc,E26EDV109X6EEPBKVH76,Instrument,SUB FIX/FLT RT EURONOTES,,3.0,2076-04-10,750.00,true,(P)Baa3,2015-03-24,NW,Instrument,,Junior Subordinate,,,,,,824421102,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Sable Permian Resources, LLC",,Instrument,GLOBAL NOTES,02563LAB4,7.125,2020-11-01,650.00,true,Caa1,2014-07-09,NW,Instrument,,Senior Unsecured,,,,824035586,NRSRO,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Sabine Pass Liquefaction LLC,549300KJYBG7C6WJYZ11,Instrument,GTD SR SEC GLOBAL NOTES,785592AJ5,5.75,2024-05-15,2000.00,true,Ba3,2014-05-13,NW,Instrument,,Senior Secured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Mattel, Inc.",549300VELLG24KHTJ564,Instrument,SR NOTES,577081AT9,4.35,2020-10-01,250.00,true,Baa1,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Mauser Holding S.a r.l.,,Instrument,SR SEC 1ST LIEN TERM LOAN,,,2021-06-30,534.00,true,B2,2014-06-10,NW,Instrument,,Backed Senior Secured Bank Credit Facility,,,,823986975,NRSRO,823986975,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Linde Finance B.V.,5H8RMHHYTWIP1RKLCE38,Instrument,GTD EURO MTNS,,3.434,2026-08-26,200.00,true,A2,2014-08-22,NW,Instrument,,Backed Senior Unsecured,,,,,,824095161,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Hercules Incorporated,,Instrument,SECURED NOTES,427056AR7,6.6,2027-08-01,100.00,true,Baa3,2012-06-15,HS,Instrument,,Backed Senior Secured,,,,,,,,0000046989,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Omnicare, Inc.",2X4NKSER9ZE7V4QZQT33,Instrument,CONV SR SUB NOTES,681904AN8,3.75,2025-12-15,575.00,false,Ba3,2012-06-15,HS,Instrument,,Senior Subordinate,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Toll Road Investors Partnership II, L.P.",,Instrument,REVENUE BONDS,88948ABN6,0.0,2036-02-15,69.50,false,Ba1,2012-06-15,HS,Instrument,,Underlying Senior Unsecured,,,,809342944,NRSRO,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Suzano Trading Ltd,,Instrument,GTD GLOBAL NOTES,86960FAA1,5.875,2021-01-23,650.00,true,Ba2,2012-06-15,HS,Instrument,,Backed Senior Unsecured,,,,822234956,NRSRO,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,NLMK,,Other,LT Corporate Family Ratings,,,,,false,Aaa.ru,2012-06-15,HS,Organization,,LT Corporate Family Ratings,,,,,,600065082,NRSRO,0001377306,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Reynolds American Inc.,02S2RPPVO9RP4NEU2740,Instrument,GTD SR NOTES,761713BG0,4.45,2025-06-12,2500.00,true,Baa3,2015-06-09,NW,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,RedPrairie Corporation,,Instrument,SR SEC REVOLVING CREDIT FACILITY,,,2017-08-06,40.00,false,B2,2012-07-18,NW,Instrument,,Senior Secured Bank Credit Facility,,,,823189353,NRSRO,823189353,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Atlas Iron Limited,,Instrument,GTD SR SEC REVOLVING CREDIT FACILITY,,,2015-12-10,50.00,true,Caa3,2015-04-07,DG,Instrument,,Senior Secured Bank Credit Facility,,,,823269795,NRSRO,823269795,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Anglo American Capital Plc,TINT358G1SSHR3L3PW36,Instrument,GTD EURO MTNS,,3.25,2023-04-03,750.00,true,Baa2,2014-04-01,NW,Instrument,,Backed Senior Unsecured,,,,,,823879801,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Pigments II B.V.,,Instrument,GTD SR SEC TERM LOAN B,,,2022-03-31,250.00,true,(P)B1,2015-02-10,NW,Instrument,,Backed Senior Secured Bank Credit Facility,,,,824355666,NRSRO,824355666,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Zurich Capital Markets Inc.,,Other,LT Issuer Rating,,,,,true,Aa3,2012-06-15,HS,Organization,,LT Issuer Rating,,,,,,600054952,NRSRO,0001028769,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR NOTES,075887BB4,1.75,2016-11-08,500.00,true,Baa2,2015-03-17,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR NOTES,075887BB4,1.75,2016-11-08,500.00,true,WR,2016-11-08,WE,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,VAT Lux III S.a r.l.,,Instrument,SR SEC TERM LOAN,,,2021-02-11,355.95,true,B1,2015-10-28,NW,Instrument,,Senior Secured Bank Credit Facility,,,,824760483,NRSRO,824760483,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR NOTES,075887BB4,1.75,2016-11-08,500.00,true,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"EveryWare Global, Inc.",549300CPPOE32YM1QQ27,Other,LT Corporate Family Ratings,,,,,true,B2,2013-04-04,NW,Organization,,LT Corporate Family Ratings,,,,,,823381605,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,The Chefs' Warehouse,,Other,LT Corporate Family Ratings,,,,,false,B2,2016-06-08,NW,Organization,,LT Corporate Family Ratings,,,,825087301,NRSRO,825087301,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,NEC Corporation,5493000QYMPFRTEY4K28,Instrument,JAPAN BONDS,,1.022,2017-06-02,20000.00,false,Baa2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,822106964,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Southern California Edison Company,9R1Z5I36FERIBVKW4P77,Instrument,NOTES,842400EB5,6.65,2029-04-01,300.00,false,A3,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,BMW Australia Finance Ltd.,529900LY3X97OZFTPJ93,Instrument,GTD EURO MTNS,,1.0,2013-09-16,200.00,true,A2,2012-06-15,HS,Instrument,,Backed Senior Unsecured,,,,,,822205963,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,MGM Resorts International,,Instrument,GTD GLOBAL NOTES,552953AL5,6.75,2012-09-01,550.00,true,B3,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,0000789570,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"UNS Electric, Inc.",0HHVF3BMNBQCDE68YY36,Instrument,GTD SR NOTES,,7.1,2023-08-07,50.00,true,Baa2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,821087280,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Hysan (MTN) Limited,,Instrument,GTD ZERO CPN EURO MTNS,,0.0,2020-02-07,430.00,true,A3,2013-05-31,UP,Instrument,,Backed Senior Unsecured,,,,809326681,NRSRO,809326681,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR NOTES,075887BF5,3.734,2024-12-15,1750.00,true,(P)Baa2,2014-12-04,NW,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Melton Renewable Energy UK PLC,,Instrument,GTD SR SEC GLOBAL NOTES,,6.75,2020-02-01,190.00,true,Ba2,2015-02-11,,Instrument,,Senior Secured,Changed to definitive from prospective,,,824222312,NRSRO,824222312,NRSRO,,,,,,,
