Gender,NameSet,GivenName,MiddleInitial,Surname,FullName
male,Vietnamese,Căn,Đ,Lâm,Căn Lâm
female,Brazil,Raissa,O,Silva,Raissa Silva
male,Dutch,Yong,N,Wetzels,Yong Wetzels
female,Japanese (Anglicized),Yoriko,M,Amano,Yoriko Amano
female,Swedish,Naomi,R,Göransson,Naomi Göransson
female,Dutch,Sadé,J,Musch,Sadé Musch
male,Icelandic,Margeir,R,Teitsson,Margeir Teitsson
male,Igbo,Otutodilinna,C,Zinachidi,Otutodilinna Zinachidi
female,Klingon,W'Kara,G,Sarn,W'Kara Sarn
male,Norwegian,Sander,K,Henriksen,Sander Henriksen
female,Hungarian,Zsuzsi,M,Péter,Zsuzsi Péter
female,Icelandic,Agla,H,Þorgrímsdóttir,Agla Þorgrímsdóttir
female,Vietnamese,Được,N,Lạc,Được Lạc
female,German,Sandra,U,Ritter,Sandra Ritter
female,Klingon,L'Kara,K,Kharsack,L'Kara Kharsack
male,Vietnamese,Khuê,T,Kim,Khuê Kim
female,Polish,Jagoda,M,Maciejewska,Jagoda Maciejewska
male,Vietnamese,Khải,T,Liễu,Khải Liễu
female,Croatian,Romana,P,Marković,Romana Marković
male,German,Daniel,S,Drechsler,Daniel Drechsler
male,Greenland,Anders,A,Davidsen,Anders Davidsen
male,England/Wales,Owen,V,Pritchard,Owen Pritchard
female,Hungarian,Marcsa,K,Sebök,Marcsa Sebök
male,Russian (Cyrillic),Вячеслав,З,Авдеев,Вячеслав Авдеев
male,Greenland,John,F,Karlsen,John Karlsen
female,Russian,Sarah,P,Polyakova,Sarah Polyakova
female,Thai,สุยนต์,ก,เนตรวงค์,สุยนต์ เนตรวงค์
female,Thai,สุนฤมล,ท,แสนเทพ,สุนฤมล แสนเทพ
female,Thai,ชูจิตร,ค,ทิพยานนท์,ชูจิตร ทิพยานนท์
male,Chinese (Traditional),冠霖,佳,鄒,冠霖 鄒
male,Igbo,Chidubem,C,Onyekachi,Chidubem Onyekachi
male,Russian (Cyrillic),Николай,Э,Галкин,Николай Галкин
female,Hungarian,Emese,V,Lovas,Emese Lovas
female,Greenland,Frederikke,L,Petrussen,Frederikke Petrussen
male,Klingon,Ahikar,M,Mi'Qogh,Ahikar Mi'Qogh
male,Vietnamese,Phê,H,Triệu,Phê Triệu
female,French,Tempeste,G,Brisebois,Tempeste Brisebois
male,Chinese,Guo,B,Tung,Guo Tung
female,Eritrean,Segan,H,Aman,Segan Aman
male,Chinese,Tain,C,Kang,Tain Kang
male,Russian,Gabriel,L,Lavrov,Gabriel Lavrov
male,Finnish,Santeri,V,Mäkilä,Santeri Mäkilä
female,Czech,Jana,Z,Horáková,Jana Horáková
female,Chinese,Xue Fang,Q,Ch'iu,Xue Fang Ch'iu
female,Italian,Guendalina,G,Barese,Guendalina Barese
female,Hobbit,Celendine,R,Chubb,Celendine Chubb
male,Hungarian,Ors,M,Szatmáry,Ors Szatmáry
female,Dutch,Bojana,S,Roelen,Bojana Roelen
male,French,Onfroi,O,Courtemanche,Onfroi Courtemanche
male,Czech,Karel,L,Komárek,Karel Komárek
male,Australian,Beau,A,Lyell,Beau Lyell
female,Russian (Cyrillic),Виктория,Н,Токарева,Виктория Токарева
male,Russian,Marat,M,Polyakov,Marat Polyakov
male,Japanese (Anglicized),Naoyuki,Y,Yamagishi,Naoyuki Yamagishi
male,Czech,Jakub,L,Konvička,Jakub Konvička
female,Chechen (Latin),Chovka,S,Masaev,Chovka Masaev
female,Hobbit,Duenna,F,Sackville,Duenna Sackville
male,Australian,Marcus,R,Batty,Marcus Batty
female,Czech,Hana,J,Dušková,Hana Dušková
male,Polish,Amadeusz,S,Zielinski,Amadeusz Zielinski
female,American,Marie,J,Haight,Marie Haight
female,Finnish,Päivi,M,Jussilainen,Päivi Jussilainen
female,Persian,روژین,ا,صاحبکار,روژین صاحبکار
female,Dutch,Marlene,A,Uijl,Marlene Uijl
male,Hobbit,Töbi,A,Noakes,Töbi Noakes
male,Hungarian,Koppány,N,Erdey,Koppány Erdey
female,Russian (Cyrillic),Злата,И,Ибрагимова,Злата Ибрагимова
female,Japanese (Anglicized),Rami,K,Yamamura,Rami Yamamura
male,Japanese,恵介,重,小菅,恵介 小菅
male,Icelandic,Örvar,L,Marinósson,Örvar Marinósson
male,Russian,Valerie,R,Voronoff,Valerie Voronoff
male,Australian,Nathan,Z,Playfair,Nathan Playfair
male,Russian,Kondrat,S,Zotov,Kondrat Zotov
male,Icelandic,Þormar,F,Hjálmtýsson,Þormar Hjálmtýsson
female,Danish,Mathilde,J,Østergaard,Mathilde Østergaard
male,Thai,ทรงวุฒ,ส,ตองติดรัมย์,ทรงวุฒ ตองติดรัมย์
male,Japanese,太陽,貞,永長,太陽 永長
female,Russian,Stepanida,G,Seleznyova,Stepanida Seleznyova
male,Thai,ทน,ส,เนาวงศ์,ทน เนาวงศ์
female,England/Wales,Isabel,A,Webster,Isabel Webster
female,Slovenian,Lejla,F,Bosanac,Lejla Bosanac
male,Hungarian,Surány,D,Kollár,Surány Kollár
male,Japanese,陸,梅,田波,陸 田波
male,Chinese (Traditional),承翰,姿,呂,承翰 呂
male,Norwegian,Ivar,Y,Nordang,Ivar Nordang
female,Eritrean,Haddas,S,Dahlak,Haddas Dahlak
male,Chechen (Latin),Yunadi,M,Korgay,Yunadi Korgay
male,American,Jaime,S,McBride,Jaime McBride
female,Greenland,Emilie,J,Josefsen,Emilie Josefsen
male,Icelandic,Haukur,O,Hreiðarsson,Haukur Hreiðarsson
female,Russian,Cleopatra,M,Kuznetsova,Cleopatra Kuznetsova
female,Hobbit,Miranda,G,Twofoot,Miranda Twofoot
male,Hungarian,Tétény,G,Sági,Tétény Sági
female,French,Alphonsine,M,Quiron,Alphonsine Quiron
male,Thai,คอลท์,ส,ภูพาดแร่,คอลท์ ภูพาดแร่
female,Danish,Lea,D,Kristoffersen,Lea Kristoffersen
female,Russian,Ia,I,Artamonova,Ia Artamonova
male,American,Robert,W,Doe,Robert Doe
male,Vietnamese,Mến,D,Hà,Mến Hà
male,Chinese,Cai,Q,Yeh,Cai Yeh
female,French,Blanchefle,C,Cousteau,Blanchefle Cousteau
male,Australian,James,C,Tancred,James Tancred
male,Polish,Włodzisław,K,Kucharski,Włodzisław Kucharski
female,Scottish,Kyla,M,Gordon,Kyla Gordon
female,Hobbit,Pandora,B,Smallburrow,Pandora Smallburrow
male,Swedish,Rayan,M,Danielsson,Rayan Danielsson
male,Hispanic,Ciril,B,Arredondo,Ciril Arredondo
female,Swedish,Tiffany,E,Bergman,Tiffany Bergman
male,Italian,Anacleto,L,Panicucci,Anacleto Panicucci
female,Chinese (Traditional),虹均,彥,錢,虹均 錢
female,Japanese (Anglicized),Wakana,M,Endo,Wakana Endo
female,Polish,Celestyna,C,Kowalska,Celestyna Kowalska
male,Australian,Leo,S,Goudie,Leo Goudie
female,Greenland,Frederikke,P,Egede,Frederikke Egede
male,German,Marko,S,Abt,Marko Abt
male,Dutch,Eric-Jan,L,Haring,Eric-Jan Haring
female,Swedish,Niki,F,Nordström,Niki Nordström
female,Eritrean,Hiwet,R,Filmon,Hiwet Filmon
female,Brazil,Matilde,P,Pinto,Matilde Pinto
male,German,Michael,C,Pfaff,Michael Pfaff
male,Persian,فرهاد,ن,الله وردی,فرهاد الله وردی
female,Scottish,Antonia,S,Russell,Antonia Russell
male,Norwegian,Victor,C,Berg,Victor Berg
female,Czech,Jarmila,L,Říhová,Jarmila Říhová
male,Brazil,Caio,D,Costa,Caio Costa
female,Hobbit,Jessamine,F,Baggins,Jessamine Baggins
female,Klingon,B'elanna,K,Helvari,B'elanna Helvari
male,Danish,Patrick,N,Frederiksen,Patrick Frederiksen
female,Russian,Nora,H,Grigoryeva,Nora Grigoryeva
female,Russian (Cyrillic),Елена,Х,Воронина,Елена Воронина
male,Norwegian,Tage,M,Magnussen,Tage Magnussen
female,Vietnamese,Phụng,T,Lưu,Phụng Lưu
male,Scottish,Omar,C,Hunter,Omar Hunter
female,Japanese (Anglicized),Sonoka,I,Kubo,Sonoka Kubo
female,Italian,Urania,A,Ricci,Urania Ricci
male,Hispanic,Noam,Y,Ledesma,Noam Ledesma
female,Finnish,Carola,E,Herlevi,Carola Herlevi
male,Russian (Cyrillic),Богдан,П,Па́влов,Богдан Па́влов
male,German,Max,M,Engel,Max Engel
male,Japanese,孝,陽,向井,孝 向井
female,England/Wales,Grace,F,Graham,Grace Graham
male,Norwegian,Jonathan,N,Blom,Jonathan Blom
female,American,Kathleen,E,Dasilva,Kathleen Dasilva
female,Australian,Kiara,R,Lindrum,Kiara Lindrum
male,Croatian,Juro,T,Crnić,Juro Crnić
female,Igbo,Chidinma,O,Chibuzo,Chidinma Chibuzo
female,Thai,จุ่มใจ,จ,ผาสอน,จุ่มใจ ผาสอน
male,Swedish,Christophe,E,Öberg,Christophe Öberg
male,Icelandic,Hjörleifur,M,Hreggviðsson,Hjörleifur Hreggviðsson
male,Persian,تیرداد,ر,صادقی,تیرداد صادقی
male,Czech,Michal,M,Beneš,Michal Beneš
male,Japanese,颯太,直,鶴野,颯太 鶴野
female,Swedish,Alva,N,Gustavsson,Alva Gustavsson
male,Croatian,Perica,D,Jozić,Perica Jozić
female,French,Émilie,G,Duffet,Émilie Duffet
female,Brazil,Rebeca,M,Goncalves,Rebeca Goncalves
female,Czech,Laura,M,Koberová,Laura Koberová
male,Greenland,Kim,P,Hansen,Kim Hansen
male,Klingon,Meth,L,Neygebh,Meth Neygebh
male,Russian (Cyrillic),Ринат,Т,Харламов,Ринат Харламов
female,Chechen (Latin),Belita,L,Melikov,Belita Melikov
male,Greenland,Minik,L,Rosing,Minik Rosing
male,Russian,Emelyan,S,Sergeyev,Emelyan Sergeyev
male,Dutch,Wannes,J,Boone,Wannes Boone
male,Polish,Miłosław,K,Zając,Miłosław Zając
male,Hispanic,Lea,P,Arroyo,Lea Arroyo
male,Norwegian,Christopher,T,Dahlberg,Christopher Dahlberg
male,Finnish,August,R,Hahli,August Hahli
female,Hispanic,Elisabet,A,Santacruz,Elisabet Santacruz
female,Hungarian,Mária,U,Német,Mária Német
female,French,Maryse,S,Dufresne,Maryse Dufresne
male,Vietnamese,Tấn,D,Chung,Tấn Chung
female,Klingon,Lora,W,Jorn,Lora Jorn
female,Australian,Emma,D,Harper,Emma Harper
female,Thai,สุประพาภรณ์,ฐ,ดวงชิน,สุประพาภรณ์ ดวงชิน
male,Finnish,Aatos,L,Salmi,Aatos Salmi
male,Swedish,Almir,H,Lindholm,Almir Lindholm
female,Chinese (Traditional),丹羿,薇,賈,丹羿 賈
male,Australian,Henry,M,Menge,Henry Menge
female,Chinese,Ping,D,Ch'ien,Ping Ch'ien
female,Scottish,Abbie,B,Watson,Abbie Watson
male,Brazil,Rodrigo,B,Rocha,Rodrigo Rocha
male,Russian,Theodore,M,Fyodorov,Theodore Fyodorov
male,Arabic,Ammar,M,Bahar,Ammar Bahar
female,Swedish,Jeanette,K,Gustafsson,Jeanette Gustafsson
male,Croatian,Tvrtko,P,Jurković,Tvrtko Jurković
female,Thai,ดาวประกาย,ค,มาอยู่,ดาวประกาย มาอยู่
female,Japanese (Anglicized),Orie,T,Yamagishi,Orie Yamagishi
male,Russian,Irakli,M,Istomin,Irakli Istomin
male,Swedish,Khalid,F,Hermansson,Khalid Hermansson
male,Swedish,Haris,V,Söderberg,Haris Söderberg
female,Igbo,Adaobi,M,Okwuoma,Adaobi Okwuoma
female,Arabic,Nabeeha,L,Harb,Nabeeha Harb
female,Icelandic,Mjöll,S,Steinarsdóttir,Mjöll Steinarsdóttir
male,Icelandic,Bergsveinn,Ö,Bjartmarsson,Bergsveinn Bjartmarsson
female,Norwegian,Tomine,M,Aadland,Tomine Aadland
male,Chechen (Latin),Khoza,M,Shishani,Khoza Shishani
female,Japanese (Anglicized),Sumire,W,Nishiyama,Sumire Nishiyama
male,Finnish,Niklas,T,Lampen,Niklas Lampen
female,Eritrean,Mulu,T,Ermias,Mulu Ermias
female,Eritrean,Ruta,O,Ambessa,Ruta Ambessa
male,Italian,Ilario,L,Piccio,Ilario Piccio
female,Russian (Cyrillic),Дана,С,Воронова,Дана Воронова
male,Danish,Frederik,K,Toft,Frederik Toft
male,Russian (Cyrillic),Олег,М,Ковалев,Олег Ковалев
male,Danish,Tosh,L,Lund,Tosh Lund
male,Finnish,Magnus,M,Holanti,Magnus Holanti
male,Australian,Harry,M,Burrowes,Harry Burrowes
female,Hispanic,Bonfilia,A,Colunga,Bonfilia Colunga
female,Finnish,Noora,S,Kononen,Noora Kononen
male,Danish,Julius,A,Christiansen,Julius Christiansen
male,Arabic,Faraj,A,Attia,Faraj Attia
male,Icelandic,Oddbjörn,G,Viðarsson,Oddbjörn Viðarsson
female,Chinese (Traditional),苡含,胤,盧,苡含 盧
male,American,Jordan,K,Lee,Jordan Lee
male,Italian,Michele,B,Gallo,Michele Gallo
female,Igbo,Adaku,N,Chineze,Adaku Chineze
female,Hungarian,Czigany,T,Balogh,Czigany Balogh
male,Greenland,Hans,M,Lennert,Hans Lennert
female,Russian (Cyrillic),Нонна,К,Щербакова,Нонна Щербакова
