rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
Moody's Investors Service,2017-12-15,Corporate,Leonardo S.p.a.,529900X4EEX1U9LN3U39,Instrument,EURO MEDIUM TERM NOTES,,4.375,2017-12-05,600.00,true,Ba1,2013-09-19,DG,Instrument,,Senior Unsecured,,,,,,823263398,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,DEBENTURES,075887AN9,7.0,2027-08-01,200.00,false,A2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Northern Tier Energy, LLC",,Instrument,SR SEC GLOBAL NOTES,665828AF6,7.125,2020-11-15,75.00,true,B1,2014-09-22,NW,Instrument,,Senior Secured,,,,,,,,0001536047,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Dominion Energy Questar Pipeline, LLC",JV2JER17NREZV7X2CW05,Shelf,SHELF,,,2014-06-13,250.00,true,WR,2014-06-13,WE,Program,,Senior Unsec. Shelf,,,,,,822613528,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Becton, Dickinson and Company",ICE2EP6D98PQUILVRZ91,Instrument,SR DEBENTURES,075887AQ2,6.7,2028-08-01,200.00,true,A3,2012-10-03,DG,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Rex Energy Corporation,549300WNUD6RTYN7CJ08,Instrument,GTD SR GLOBAL NOTES,761565AD2,6.25,2022-08-01,325.00,true,WR,2016-11-16,WO,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,PNG Companies LLC,,Instrument,SR SEC NOTES,,2.43,2017-12-19,150.00,true,Baa3,2013-12-10,NW,Instrument,,Senior Secured,,,,823680488,NRSRO,823680488,NRSRO,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"JFE Holdings, Inc.",,Instrument,GTD JAPAN BONDS,,1.351,2015-09-10,20000.00,true,Baa1,2012-06-15,HS,Instrument,,Backed Senior Unsecured,,,,,,821121076,NRSRO,0001446663,,,,,,
Moody's Investors Service,2017-12-15,Corporate,LIN Television Corporation,,Instrument,GTD SR GLOBAL NOTES,532776AX9,6.375,2021-01-15,290.00,false,B3,2012-10-04,NW,Instrument,,Backed Senior Unsecured,,,,,,,,0000931058,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Prudential Financial, Inc.",5PRBRS5FEH7NREC8OR45,Instrument,MEDIUM TERM NOTES,74432QBJ3,4.75,2015-09-17,900.00,false,Baa2,2012-06-15,HS,Instrument,,Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"21st Century Fox America, Inc",8RS0AKOLN987042F2V04,Instrument,GTD GLOBAL NOTES,90131HBW4,3.7,2025-10-15,600.00,true,Baa1,2015-10-14,NW,Instrument,,Backed Senior Unsecured,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,"Ameriforge Group, Inc.",549300T5I2LOKUMVKN83,Instrument,SR SEC 2ND LIEN TERM LOAN,03074EAJ3,,2020-12-19,235.00,true,Caa2,2015-01-28,DG,Instrument,,Senior Secured Bank Credit Facility,,,,,,,,,,,,,,
Moody's Investors Service,2017-12-15,Corporate,Unilever N.V.,549300TK7G7NZTVM1Z30,Instrument,GTD EURO MTNS,,1.15,2014-03-31,300.00,false,A1,2012-06-15,HS,Instrument,,Backed Senior Unsecured,,,,,,822508661,NRSRO,,,,,,,
