Machine_ID,Line_ID,T_Sensor_ID,Op_Temp,Timestamp
0xa00031,a002,0xa00031tm_,83.81919845,2019-10-01T09:28:57
0xa00013,a004,0xa00013tm_,80.751498,2019-10-01T00:03:39
0xa00009,a003,0xa00009tm_,81.4309054,2019-10-01T19:14:22
0xa00004,a002,0xa00004tm_,78.62713514,2019-10-01T20:27:52
0xa00026,a003,0xa00026tm_,82.55130423,2019-10-01T12:17:39
0xa00030,a002,0xa00030tm_,82.69587014,2019-10-01T00:19:09
0xa00018,a000,0xa00018tm_,81.23256117,2019-10-01T23:02:26
0xa00031,a000,0xa00031tm_,82.92148557,2019-10-01T10:40:28
0xa00030,a001,0xa00030tm_,83.4493846,2019-10-01T14:21:39
0xa00031,a000,0xa00031tm_,83.77854456,2019-10-01T16:28:34
0xa00016,a003,0xa00016tm_,81.68038953,2019-10-01T15:28:23
0xa00012,a003,0xa00012tm_,81.11499962,2019-10-01T12:16:49
0xa00009,a001,0xa00009tm_,81.18799996,2019-10-01T14:16:54
0xa00020,a004,0xa00020tm_,82,2019-10-01T01:35:43
0xa00001,a001,0xa00001tm_,78.99173988,2019-10-01T10:59:23
0xa00009,a003,0xa00009tm_,81.01987302,2019-10-01T08:07:09
0xa00024,a001,0xa00024tm_,82.30045079,2019-10-01T08:23:22
0xa00030,a003,0xa00030tm_,83.75336031,2019-10-01T18:54:59
0xa00019,a000,0xa00019tm_,81.08864331,2019-10-01T18:52:24
0xa00016,a001,0xa00016tm_,81.99839328,2019-10-01T23:02:47
0xa00010,a001,0xa00010tm_,80.78966375,2019-10-01T13:28:57
0xa00028,a000,0xa00028tm_,82.95046159,2019-10-01T04:38:13
0xa00010,a002,0xa00010tm_,79.3355524,2019-10-01T02:22:41
0xa00016,a002,0xa00016tm_,81.42498909,2019-10-01T07:42:11
0xa00005,a001,0xa00005tm_,79.01943469,2019-10-01T19:39:02
0xa00027,a001,0xa00027tm_,82.98776064,2019-10-01T20:20:22
0xa00005,a004,0xa00005tm_,81.64033232,2019-10-01T06:26:18
0xa00024,a004,0xa00024tm_,82.89620662,2019-10-01T15:31:05
0xa00034,a003,0xa00034tm_,83.74583001,2019-10-01T01:18:00
0xa00017,a002,0xa00017tm_,81.21837673,2019-10-01T13:42:07
0xa00012,a001,0xa00012tm_,80.81962859,2019-10-01T02:05:56
0xa00005,a001,0xa00005tm_,80.13438112,2019-10-01T00:06:48
0xa00017,a002,0xa00017tm_,81.54661462,2019-10-01T09:06:15
0xa00017,a001,0xa00017tm_,81.02364052,2019-10-01T19:35:12
0xa00008,a001,0xa00008tm_,79.11588809,2019-10-01T22:03:04
0xa00013,a001,0xa00013tm_,80.87811922,2019-10-01T03:23:42
0xa00028,a002,0xa00028tm_,83.50248906,2019-10-01T11:05:16
0xa00004,a002,0xa00004tm_,79.59648228,2019-10-01T05:51:33
0xa00020,a004,0xa00020tm_,82,2019-10-01T13:36:43
0xa00031,a001,0xa00031tm_,82.3425683,2019-10-01T23:55:55
0xa00033,a000,0xa00033tm_,82.74490212,2019-10-01T23:16:09
0xa00013,a002,0xa00013tm_,80.14840112,2019-10-01T12:52:18
